model,threshold,precision_mean,precision_var,recall_mean,recall_var,f1_mean,f1_var,pos_acc_mean,neg_acc_mean,mcc
dwulff/mpnet-personality,0.14999999999999997,0.004078609291451586,0.0,0.9824365765263451,0.0,0.00812349370164141,0.0,0.9824365765263451,0.7017058483604839,0.05262183724003095
dwulff/mpnet-personality,0.15999999999999998,0.004814294054285174,0.0,0.979369947030945,0.0,0.009581488335431187,0.0,0.979369947030945,0.7482638714358363,0.05897540924073379
dwulff/mpnet-personality,0.16999999999999998,0.005714062199506498,0.0,0.9774184555338723,0.0,0.011361703024008322,0.0,0.9774184555338723,0.7885176497015485,0.0659494707264447
dwulff/mpnet-personality,0.17999999999999997,0.00678699631707355,0.0,0.9740730415388904,0.0,0.013480068287695676,0.0,0.9740730415388904,0.8227510925659067,0.07332680829896887
dwulff/mpnet-personality,0.18999999999999995,0.008061232986981744,0.0,0.9715639810426541,0.0,0.015989795894958282,0.0,0.9715639810426541,0.8513441325215627,0.08123717003644404
dwulff/mpnet-personality,0.19999999999999996,0.009565377623396947,0.0,0.9696124895455812,0.0,0.018943871020452627,0.0,0.9696124895455812,0.87516132398154,0.08968895604782925
dwulff/mpnet-personality,0.20999999999999996,0.011280523577956534,0.0,0.9648731530526903,0.0,0.022300329575804047,0.0,0.9648731530526903,0.8948422430853846,0.09826534516072469
dwulff/mpnet-personality,0.21999999999999995,0.013235000076902963,0.0,0.9595762475606356,0.0,0.026109878439627542,0.0,0.9595762475606356,0.9110396388145413,0.10711941692098902
dwulff/mpnet-personality,0.22999999999999995,0.015472018497778099,0.0,0.9551156955673265,0.0,0.030450761935658766,0.0,0.9551156955673265,0.9244274060282391,0.11642683939175606
dwulff/mpnet-personality,0.23999999999999994,0.017996362773780344,0.0,0.9517702815723446,0.0,0.035324793576557746,0.0,0.9517702815723446,0.9354215292074837,0.12613227302045404
dwulff/mpnet-personality,0.24999999999999992,0.020797801200014725,0.0,0.9450794535823808,0.0,0.040699942972056306,0.0,0.9450794535823808,0.944671290796378,0.13579596164174837
dwulff/mpnet-personality,0.2599999999999999,0.023883542003804333,0.0,0.9381098410928352,0.0,0.046581164044601636,0.0,0.9381098410928352,0.9523257519006157,0.14558436006480496
dwulff/mpnet-personality,0.2699999999999999,0.027310083408899673,0.0,0.9319765821020352,0.0,0.05306517667227531,0.0,0.9319765821020352,0.9587253264871531,0.1557130957917612
dwulff/mpnet-personality,0.2799999999999999,0.031067870340053323,0.0,0.925843323111235,0.0,0.06011839032602596,0.0,0.925843323111235,0.9640956861369359,0.16602228956447604
dwulff/mpnet-personality,0.2899999999999999,0.03508230233598092,0.0,0.9185949261221076,0.0,0.0675835051123486,0.0,0.9185949261221076,0.9685838120332524,0.17615778961075468
dwulff/mpnet-personality,0.29999999999999993,0.03963333414061176,0.0,0.9124616671313075,0.0,0.07596699509104202,0.0,0.9124616671313075,0.9725072389966039,0.18701665173782867
dwulff/mpnet-personality,0.30999999999999994,0.044452356823970855,0.0,0.9049344856425983,0.0,0.08474200159250218,0.0,0.9049344856425983,0.9758118890444594,0.197596994573973
dwulff/mpnet-personality,0.3199999999999999,0.04964517076640022,0.0,0.8951770281572344,0.0,0.09407318430844051,0.0,0.8951770281572344,0.9786918882679551,0.2080072247769925
dwulff/mpnet-personality,0.32999999999999985,0.05534022768749457,0.0,0.8876498466685252,0.0,0.10418507247799483,0.0,0.8876498466685252,0.9811590228940525,0.21898948306107746
dwulff/mpnet-personality,0.33999999999999986,0.06151594966344747,0.0,0.8790075271814887,0.0,0.11498486561394551,0.0,0.8790075271814887,0.9833252620788894,0.2300332685492619
dwulff/mpnet-personality,0.34999999999999987,0.06818132358381754,0.0,0.8734318371898523,0.0,0.12648875610642335,0.0,0.8734318371898523,0.9851569804102508,0.241666262908216
dwulff/mpnet-personality,0.3599999999999999,0.07522886768169787,0.0,0.8636743797044885,0.0,0.1384024303073624,0.0,0.8636743797044885,0.9867983858415522,0.2526539783529963
dwulff/mpnet-personality,0.3699999999999999,0.0830941679753073,0.0,0.8555896292166155,0.0,0.15147701191974533,0.0,0.8555896292166155,0.988260571292287,0.2645103605647597
dwulff/mpnet-personality,0.3799999999999999,0.09100192215281115,0.0,0.8447170337329245,0.0,0.16430333758099938,0.0,0.8447170337329245,0.9895081780815697,0.2752332543694516
dwulff/mpnet-personality,0.3899999999999999,0.09969586577988704,0.0,0.8316141622525788,0.0,0.17804703354422824,0.0,0.8316141622525788,0.9906618417088919,0.2860135744335524
dwulff/mpnet-personality,0.3999999999999998,0.10926330604837216,0.0,0.8224142737663785,0.0,0.19289871182894133,0.0,0.8224142737663785,0.9916633243469131,0.2979388788708177
dwulff/mpnet-personality,0.4099999999999998,0.11936024870127214,0.0,0.8134931697797603,0.0,0.20817578654490976,0.0,0.8134931697797603,0.9925368917570249,0.3098703915060925
dwulff/mpnet-personality,0.4199999999999998,0.13034236352946496,0.0,0.8034569277948146,0.0,0.22429761070900459,0.0,0.8034569277948146,0.993334195345619,0.3219621891309272
