model,n_components,min_cluster_size,min_samples,f1,precision,recall,pos_acc,neg_acc,n_clusters,n_noise
BERT Base,2,5,8,0.12695761119231572,0.07810392446528358,0.3390019514914971,0.3390019514914971,0.9950244789534385,146,1376
BERT Base,2,5,9,0.11761308950914341,0.07107543767812481,0.34067465848898804,0.34067465848898804,0.9944635932115492,133,1376
BERT Base,2,5,10,0.1397524723159827,0.0887218045112782,0.32896570950655146,0.32896570950655146,0.9957985567418431,132,1457
BERT Base,2,5,11,0.11087965154814886,0.06678072426575421,0.326456649010315,0.326456649010315,0.9943273582940199,118,1496
BERT Base,2,6,2,0.16810845706907682,0.10938418885995127,0.3629774184555339,0.3629774184555339,0.9963251237640495,268,645
BERT Base,2,6,3,0.16360122202132302,0.10536460006424671,0.36576526345135213,0.36576526345135213,0.9961382774013311,238,770
BERT Base,2,6,4,0.16279944813746394,0.10502467837203658,0.3618622804572066,0.3618622804572066,0.9961656630463306,208,946
BERT Base,2,6,5,0.16179112137541699,0.10507457711857346,0.3515472539726791,0.3515472539726791,0.9962769388949996,198,1087
BERT Base,2,6,6,0.15295017353961998,0.0969281240679988,0.36241984945637024,0.36241984945637024,0.9958013299717166,170,1155
BERT Base,2,6,7,0.13844387336650446,0.08611073323357367,0.35294117647058826,0.35294117647058826,0.9953423604276737,151,1292
BERT Base,2,6,8,0.12523210233133897,0.07683058034301626,0.33844438249233344,0.33844438249233344,0.9949433619796424,143,1360
BERT Base,2,6,9,0.11709869203329369,0.07059295790801698,0.34318371898522443,0.34318371898522443,0.9943817829302848,129,1362
BERT Base,2,6,10,0.1382203834275392,0.08737291881538235,0.33063841650404235,0.33063841650404235,0.9957056535410852,128,1458
BERT Base,2,6,11,0.11082169074117926,0.06675034230944774,0.3261778645107332,0.3261778645107332,0.9943294382164249,117,1501
BERT Base,2,7,2,0.15887148060357287,0.10021881838074398,0.38304990242542514,0.38304990242542514,0.9957236795352621,217,656
BERT Base,2,7,3,0.16027543630535437,0.10181763330567917,0.3763590744354614,0.3763590744354614,0.9958717006797533,203,784
BERT Base,2,7,4,0.15678485892867575,0.09917233224948271,0.3741287984388068,0.3741287984388068,0.9957742909804511,183,940
BERT Base,2,7,5,0.15311454235895028,0.09698051465119738,0.36353498745469753,0.36353498745469753,0.9957909303596914,169,1093
BERT Base,2,7,6,0.12916276086634762,0.07846780961515405,0.36492890995260663,0.36492890995260663,0.9946708921445837,155,1116
BERT Base,2,7,7,0.13871511722787358,0.08617193836171938,0.35545023696682465,0.35545023696682465,0.9953128948602691,149,1280
BERT Base,2,7,8,0.12535583570557138,0.07665526888405347,0.3437412879843881,0.3437412879843881,0.994851498740087,136,1339
BERT Base,2,7,9,0.11661614247821145,0.07024251069900142,0.34318371898522443,0.34318371898522443,0.9943516240554119,126,1366
BERT Base,2,7,10,0.13795510061649413,0.08716102006320277,0.33063841650404235,0.33063841650404235,0.9956942139678576,126,1464
BERT Base,2,7,11,0.10956368852079766,0.06568290247420393,0.3300808475048787,0.3300808475048787,0.994161657809086,115,1482
BERT Base,2,8,2,0.15548299932447646,0.09741129999294632,0.38500139392249794,0.38500139392249794,0.9955642188175433,201,679
BERT Base,2,8,3,0.1458011608711859,0.09011321748288573,0.38165597992751604,0.38165597992751604,0.9952082054325493,187,751
BERT Base,2,8,4,0.14078223882145452,0.08648269708750239,0.37831056593253415,0.37831056593253415,0.9950310653743878,168,910
BERT Base,2,8,5,0.14779961251037918,0.09220886862826357,0.37217730694173407,0.37217730694173407,0.9954439299717859,156,1055
BERT Base,2,8,6,0.1282477046298105,0.07774290958612115,0.3660440479509339,0.3660440479509339,0.994600521436547,148,1119
