model,n_components,min_cluster_size,min_samples,f1,precision,recall,pos_acc,neg_acc,n_clusters,n_noise
MPNet-Personality,768,6,3,0.2730994799159013,0.22642201834862385,0.3440200724839699,0.3440200724839699,0.9985385078567336,132,2591
MPNet-Personality,768,6,4,0.24230517354289458,0.22850790513833993,0.2578756621131865,0.2578756621131865,0.9989174003881829,92,3023
MPNet-Personality,768,6,5,0.2172998738258797,0.218556119571348,0.216057987175913,0.216057987175913,0.9990394225026111,70,3216
MPNet-Personality,768,6,6,0.19295327385452896,0.2108393919365499,0.17786451073320322,0.17786451073320322,0.9991721908827988,62,3368
MPNet-Personality,768,6,7,0.16396423700560692,0.17961487383798141,0.1508224142737664,0.1508224142737664,0.9991434186228626,49,3456
MPNet-Personality,768,6,8,0.13699421965317918,0.1422142214221422,0.13214385280178423,0.13214385280178423,0.9990089169740041,39,3511
MPNet-Personality,768,6,9,0.0040622642966165615,0.002042007436608954,0.3813771954279342,0.3813771954279342,0.7682408328286633,2,2243
MPNet-Personality,768,6,10,0.004295212863012998,0.0021617551174088327,0.32812935600780596,0.32812935600780596,0.8116671860695117,2,2447
MPNet-Personality,768,6,11,0.09109155473212907,0.10207612456747404,0.08224142737663787,0.08224142737663787,0.9991004335598254,25,3735
MPNet-Personality,768,7,2,0.26862975340980944,0.198690539818279,0.41455255087817117,0.41455255087817117,0.9979211175561744,140,2249
MPNet-Personality,768,7,3,0.24820406038521603,0.19807244931871054,0.3323111235015333,0.3323111235015333,0.998327049078889,107,2676
MPNet-Personality,768,7,4,0.22876779577810505,0.20434115325586494,0.25982715361025926,0.25982715361025926,0.9987419935986921,75,3045
MPNet-Personality,768,7,5,0.2068582535054838,0.2060287610619469,0.20769445218845833,0.20769445218845833,0.999004757129194,60,3253
MPNet-Personality,768,7,6,0.1857268207078093,0.19532451553368194,0.17702815723445775,0.17702815723445775,0.9990931538314077,55,3378
MPNet-Personality,768,7,7,0.15256036083841867,0.14553277651227536,0.16030108725954836,0.16030108725954836,0.9988296969934375,40,3430
MPNet-Personality,768,7,8,0.13598144389678168,0.1416490486257928,0.1307499303038751,0.1307499303038751,0.999014810087485,36,3529
MPNet-Personality,768,7,9,0.0040622642966165615,0.002042007436608954,0.3813771954279342,0.3813771954279342,0.7682408328286633,2,2243
MPNet-Personality,768,7,10,0.004295212863012998,0.0021617551174088327,0.32812935600780596,0.32812935600780596,0.8116671860695117,2,2447
MPNet-Personality,768,7,11,0.004523242540711321,0.0022790967194363005,0.294954000557569,0.294954000557569,0.8394435098274601,3,2591
MPNet-Personality,768,8,2,0.2372827044780902,0.1664793165467626,0.4128798438806802,0.4128798438806802,0.9974295625611194,112,2302
MPNet-Personality,768,8,3,0.22436983162299493,0.1745736434108527,0.313911346529133,0.313911346529133,0.9981544155192716,83,2774
MPNet-Personality,768,8,4,0.21507631364324828,0.18474779823859086,0.25731809311402287,0.25731809311402287,0.99858807934072,61,3074
MPNet-Personality,768,8,5,0.20429807423946414,0.20452640402347025,0.20407025369389462,0.20407025369389462,0.9990130768188141,56,3281
MPNet-Personality,768,8,6,0.003335260527078808,0.0016728393072825548,0.5355450236966824,0.5355450236966824,0.6025871461488677,2,1596
MPNet-Personality,768,8,7,0.0035135313150939824,0.0017632749190412,0.4758851407861723,0.4758851407861723,0.6650014576789522,2,1812
MPNet-Personality,768,8,8,0.13509587449157467,0.1410373066424022,0.1296347923055478,0.1296347923055478,0.9990182766248267,34,3543
MPNet-Personality,768,8,9,0.0040622642966165615,0.002042007436608954,0.3813771954279342,0.3813771954279342,0.7682408328286633,2,2243
MPNet-Personality,768,8,10,0.004295212863012998,0.0021617551174088327,0.32812935600780596,0.32812935600780596,0.8116671860695117,2,2447
MPNet-Personality,768,8,11,0.004523242540711321,0.0022790967194363005,0.294954000557569,0.294954000557569,0.8394435098274601,3,2591
MPNet-Personality,768,9,2,0.23184402924451666,0.16359050785280294,0.39782548090326175,0.39782548090326175,0.9974708143554858,98,2414
MPNet-Personality,768,9,3,0.21750450630883236,0.16971401781528364,0.30275996654586007,0.30275996654586007,0.9981582287103475,72,2854
MPNet-Personality,768,9,4,0.2124163830536322,0.18342115930279693,0.25229997212155003,0.25229997212155003,0.9986033321050236,55,3122
MPNet-Personality,768,9,5,0.0029961624228595136,0.0015015727203676547,0.6442709785335935,0.6442709785335935,0.4672826472420402,2,1178
MPNet-Personality,768,9,6,0.003335260527078808,0.0016728393072825548,0.5355450236966824,0.5355450236966824,0.6025871461488677,2,1596
MPNet-Personality,768,9,7,0.147932131495228,0.14101592115238817,0.15556175076665738,0.15556175076665738,0.9988217239575515,34,3462
MPNet-Personality,768,9,8,0.1343609131888905,0.14042553191489363,0.12879843880680233,0.12879843880680233,0.9990196632397634,33,3551
MPNet-Personality,768,9,9,0.0040622642966165615,0.002042007436608954,0.3813771954279342,0.3813771954279342,0.7682408328286633,2,2243
MPNet-Personality,768,9,10,0.004295212863012998,0.0021617551174088327,0.32812935600780596,0.32812935600780596,0.8116671860695117,2,2447
MPNet-Personality,768,9,11,0.08437025796661608,0.09257409257409258,0.07750209088374686,0.07750209088374686,0.999055368574383,20,3744
MPNet-Personality,768,10,2,0.21196190476190477,0.14583770182428182,0.3877892389183161,0.3877892389183161,0.997175812027706,82,2473
MPNet-Personality,768,10,3,0.1979261415317446,0.14688807884433644,0.3033175355450237,0.3033175355450237,0.9978094950537711,59,2856
MPNet-Personality,768,10,4,0.0028402123261273256,0.0014229003580289374,0.7231669919152495,0.7231669919152495,0.368936636203892,2,889
MPNet-Personality,768,10,5,0.15081897468623698,0.12192605331040413,0.19765821020351268,0.19765821020351268,0.998229986033321,40,3295
MPNet-Personality,768,10,6,0.14783526927138332,0.12763371150729336,0.17563423473654866,0.17563423473654866,0.9985073090206581,36,3385
MPNet-Personality,768,10,7,0.11585567692816948,0.09587289992695398,0.1463618622804572,0.1463618622804572,0.9982837173621176,29,3458
MPNet-Personality,768,10,8,0.12283195905601364,0.12532637075718014,0.12043490381934764,0.12043490381934764,0.9989548389914733,29,3566
MPNet-Personality,768,10,9,0.09749739311783108,0.09155446756425949,0.10426540284360189,0.10426540284360189,0.9987135679924901,19,3675
MPNet-Personality,768,10,10,0.0864385297845374,0.07924703695096444,0.09506551435740172,0.09506551435740172,0.998626557905213,18,3676
MPNet-Personality,768,10,11,0.007035543343378833,0.0035890914229193163,0.17702815723445775,0.17702815723445775,0.9388884132029315,4,3184
MPNet-Personality,768,11,2,0.20185922974767595,0.1372529346844587,0.3813771954279342,0.3813771954279342,0.9970191245398605,72,2517
MPNet-Personality,768,11,3,0.1940759585680538,0.14395471087747674,0.29774184555338723,0.29774184555338723,0.9977984021342777,55,2885
