model,threshold,trial,precision,recall,f1,pos_acc,neg_acc,num_initial_seeds,model_name
SentenceTransformer,0.7,2,0.558675305975522,0.4326735433509897,0.4876669285153181,0.4326735433509897,0.9995750025219059,10,all-mpnet-base-v2
SentenceTransformer,0.7,3,0.5620253164556962,0.4332311123501533,0.4892947103274559,0.4332311123501533,0.9995802023279184,10,all-mpnet-base-v2
SentenceTransformer,0.7,4,0.5598553345388788,0.4315584053526624,0.48740554156171284,0.4315584053526624,0.9995781224055135,10,all-mpnet-base-v2
SentenceTransformer,0.7,5,0.5616438356164384,0.4343462503484806,0.48986008489231253,0.4343462503484806,0.9995784690592476,10,all-mpnet-base-v2
SentenceTransformer,0.7,6,0.5581395348837209,0.42821299135768054,0.4846190250828206,0.42821299135768054,0.9995784690592476,10,all-mpnet-base-v2
SentenceTransformer,0.7,7,0.5613908004346251,0.432115974351826,0.48834278512917456,0.432115974351826,0.9995802023279184,10,all-mpnet-base-v2
SentenceTransformer,0.7,8,0.5631808278867102,0.4323947588514079,0.4891972874940861,0.4323947588514079,0.9995829755577919,10,all-mpnet-base-v2
SentenceTransformer,0.7,9,0.5578795528308691,0.4312796208530806,0.48647798742138365,0.4312796208530806,0.9995750025219059,10,all-mpnet-base-v2
SentenceTransformer,0.7,10,0.5602169981916817,0.43183718985224423,0.48772040302267,0.43183718985224423,0.9995784690592476,10,all-mpnet-base-v2
SentenceTransformer,0.75,1,0.7060439560439561,0.3582380819626429,0.4753097836138339,0.3582380819626429,0.9998145402522183,10,all-mpnet-base-v2
SentenceTransformer,0.75,2,0.7067254685777288,0.3574017284638974,0.47472690242547677,0.3574017284638974,0.9998155802134209,10,all-mpnet-base-v2
SentenceTransformer,0.75,3,0.706953642384106,0.3571229439643156,0.4745323208001482,0.3571229439643156,0.999815926867155,10,all-mpnet-base-v2
SentenceTransformer,0.75,4,0.706953642384106,0.3571229439643156,0.4745323208001482,0.3571229439643156,0.999815926867155,10,all-mpnet-base-v2
SentenceTransformer,0.75,5,0.706953642384106,0.3571229439643156,0.4745323208001482,0.3571229439643156,0.999815926867155,10,all-mpnet-base-v2
SentenceTransformer,0.75,6,0.706953642384106,0.3571229439643156,0.4745323208001482,0.3571229439643156,0.999815926867155,10,all-mpnet-base-v2
SentenceTransformer,0.75,7,0.7083563918096292,0.35684415946473375,0.4746014089729329,0.35684415946473375,0.9998173134820917,10,all-mpnet-base-v2
SentenceTransformer,0.75,8,0.7079646017699115,0.35684415946473375,0.47451343836886006,0.35684415946473375,0.9998169668283575,10,all-mpnet-base-v2
SentenceTransformer,0.75,9,0.706953642384106,0.3571229439643156,0.4745323208001482,0.3571229439643156,0.999815926867155,10,all-mpnet-base-v2
SentenceTransformer,0.75,10,0.706953642384106,0.3571229439643156,0.4745323208001482,0.3571229439643156,0.999815926867155,10,all-mpnet-base-v2
SentenceTransformer,0.8,1,0.8516873889875666,0.2673543350989685,0.4069594737958837,0.2673543350989685,0.9999421088263933,10,all-mpnet-base-v2
SentenceTransformer,0.8,2,0.8481349911190054,0.2662391971006412,0.40526204116274134,0.2662391971006412,0.9999407222114567,10,all-mpnet-base-v2
SentenceTransformer,0.8,3,0.8506666666666667,0.26679676609980485,0.4061969439728353,0.26679676609980485,0.9999417621726592,10,all-mpnet-base-v2
SentenceTransformer,0.8,4,0.8506666666666667,0.26679676609980485,0.4061969439728353,0.26679676609980485,0.9999417621726592,10,all-mpnet-base-v2
SentenceTransformer,0.8,5,0.8506666666666667,0.26679676609980485,0.4061969439728353,0.26679676609980485,0.9999417621726592,10,all-mpnet-base-v2
SentenceTransformer,0.8,6,0.8506666666666667,0.26679676609980485,0.4061969439728353,0.26679676609980485,0.9999417621726592,10,all-mpnet-base-v2
SentenceTransformer,0.8,7,0.8506666666666667,0.26679676609980485,0.4061969439728353,0.26679676609980485,0.9999417621726592,10,all-mpnet-base-v2
SentenceTransformer,0.8,8,0.8506666666666667,0.26679676609980485,0.4061969439728353,0.26679676609980485,0.9999417621726592,10,all-mpnet-base-v2
SentenceTransformer,0.8,9,0.8506666666666667,0.26679676609980485,0.4061969439728353,0.26679676609980485,0.9999417621726592,10,all-mpnet-base-v2
SentenceTransformer,0.8,10,0.8506666666666667,0.26679676609980485,0.4061969439728353,0.26679676609980485,0.9999417621726592,10,all-mpnet-base-v2
